ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
95642,32.4%,$,"4 88,429,326",53.0%,$,"3 68,843,732",59.9%,$,"2 41,097,445",57.5%,$,"1 50,765,179",$,"9 5,724,754"
95665,16.5%,$,"8 26,465,085",17.2%,$,"7 09,178,889",13.3%,$,"6 05,275,912",23.3%,$,"5 34,131,129",$,"4 33,156,496"
95666,14.5%,$,"1 ,605,898,553",20.7%,$,"1 ,402,880,241",15.2%,$,"1 ,162,578,892",28.7%,$,"1 ,009,603,273",$,"7 84,533,968"
95669,43.4%,$,"2 65,905,746",40.0%,$,"1 85,419,993",61.0%,$,"1 32,431,972",93.4%,$,"8 2,274,360",$,"4 2,533,207"
95685,20.0%,$,"4 65,198,209",26.7%,$,"3 87,656,244",40.7%,$,"3 05,859,249",38.0%,$,"2 17,391,154",$,"1 57,537,196"
95689,23.1%,$,"3 10,836,452",25.2%,$,"2 52,475,020",6.9%,$,"2 01,696,036",23.2%,$,"1 88,732,902",$,"1 53,234,388"
95699,0.0%,$,"1 5,962,803",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95914,18.8%,$,"5 1,097,485",51.2%,$,"4 2,999,920",94.7%,$,"2 8,447,619",105.7%,$,"1 4,613,514",$,"7 ,102,696"
95916,19.9%,$,"7 5,323,467",42.8%,$,"6 2,823,655",-2.6%,$,"4 3,991,914",-46.9%,$,"4 5,165,717",$,"8 5,062,336"
95917,71.0%,$,"2 ,047,285",239.1%,$,"1 ,197,475",3.8%,$,"3 53,185",0.0%,$,"3 40,275",$,-
95926,417.7%,$,"1 4,091,630",286.7%,$,"2 ,721,725",-39.7%,$,"7 03,747",275.9%,$,"1 ,166,706",$,"3 10,383"
95928,57.7%,$,"2 04,803,664",121.3%,$,"1 29,903,272",12.3%,$,"5 8,688,157",22.8%,$,"5 2,266,448",$,"4 2,551,472"
95930,0.0%,$,"6 0,490,722",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95938,33.2%,$,"3 ,848,995",91.5%,$,"2 ,889,891",-11.3%,$,"1 ,508,733",22.2%,$,"1 ,701,235",$,"1 ,392,170"
95941,6.5%,$,"4 2,815,927",19.0%,$,"4 0,209,877",12.7%,$,"3 3,794,256",23.4%,$,"2 9,997,274",$,"2 4,308,709"
95942,18.1%,$,"3 57,335,983",23.9%,$,"3 02,601,411",15.3%,$,"2 44,264,426",30.1%,$,"2 11,822,938",$,"1 62,817,150"
95948,74.8%,$,"3 ,758,297",177.6%,$,"2 ,149,903",10.7%,$,"7 74,432",131.4%,$,"6 99,680",$,"3 02,400"
95954,21.8%,$,"1 ,256,773,993",48.4%,$,"1 ,032,186,907",19.0%,$,"6 95,440,792",35.3%,$,"5 84,564,361",$,"4 31,971,149"
95965,66.0%,$,"3 44,987,352",81.0%,$,"2 07,767,627",31.8%,$,"1 14,794,599",67.8%,$,"8 7,129,798",$,"5 1,922,786"
95966,48.2%,$,"1 ,823,544,673",60.3%,$,"1 ,230,082,219",17.5%,$,"7 67,463,571",17.3%,$,"6 53,027,872",$,"5 56,492,840"
95968,215.0%,$,"1 4,295,514",164.3%,$,"4 ,538,133",337.6%,$,"1 ,717,117",180.7%,$,"3 92,363",$,"1 39,793"
95969,92.3%,$,"1 ,619,661,110",107.3%,$,"8 42,186,799",68.0%,$,"4 06,179,523",120.0%,$,"2 41,778,119",$,"1 09,895,301"
95973,71.8%,$,"1 77,192,812",38.4%,$,"1 03,160,636",26.6%,$,"7 4,533,974",36.9%,$,"5 8,880,384",$,"4 3,002,081"
95222,44.6%,$,"4 80,996,683",59.7%,$,"3 32,730,851",29.7%,$,"2 08,311,696",32.8%,$,"1 60,590,653",$,"1 20,952,426"
95223,9.8%,$,"3 ,558,704,436",21.8%,$,"3 ,241,857,586",21.0%,$,"2 ,660,577,111",28.7%,$,"2 ,198,189,301",$,"1 ,707,423,782"
95225,0.0%,$,"2 7,326,184",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95226,0.0%,$,"9 ,973,894",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95228,47.8%,$,"7 18,894,723",88.4%,$,"4 86,521,756",53.3%,$,"2 58,277,471",71.7%,$,"1 68,493,955",$,"9 8,152,130"
95232,15.5%,$,"3 9,535,740",27.7%,$,"3 4,235,585",78.3%,$,"2 6,818,238",20.8%,$,"1 5,041,873",$,"1 2,448,780"
95245,13.9%,$,"2 57,699,048",32.8%,$,"2 26,223,637",43.8%,$,"1 70,305,332",24.1%,$,"1 18,412,708",$,"9 5,396,739"
95246,13.0%,$,"2 27,605,834",31.5%,$,"2 01,358,921",38.9%,$,"1 53,140,817",43.2%,$,"1 10,231,063",$,"7 6,991,348"
95247,18.3%,$,"1 ,143,646,154",30.5%,$,"9 66,419,151",23.4%,$,"7 40,747,846",34.9%,$,"6 00,450,871",$,"4 44,975,371"
95249,30.5%,$,"2 70,694,146",44.2%,$,"2 07,427,919",37.1%,$,"1 43,874,536",79.7%,$,"1 04,933,274",$,"5 8,398,396"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year o,ver Year Growth,To,tal Exposure Year o,ver Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
95251,9.8%,$,"1 12,803,578",15.3%,$,"1 02,738,572",7.1%,$,"8 9,081,609",76.3%,$,"8 3,179,257",$,"4 7,171,742"
95252,31.7%,$,"4 94,467,742",66.0%,$,"3 75,551,929",105.2%,$,"2 26,251,775",56.1%,$,"1 10,264,018",$,"7 0,619,468"
95254,0.0%,$,"1 7,245,352",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95255,15.6%,$,"2 74,588,453",15.6%,$,"2 37,568,956",6.6%,$,"2 05,497,865",24.6%,$,"1 92,852,353",$,"1 54,806,944"
95257,4.3%,$,"9 6,298,472",5.6%,$,"9 2,368,946",20.3%,$,"8 7,498,772",34.5%,$,"7 2,737,729",$,"5 4,062,064"
95912,-60.9%,$,"2 ,302,980",68.3%,$,"5 ,888,956",77.8%,$,"3 ,498,998",0.0%,$,"1 ,967,500",$,-
95932,65.3%,$,"4 ,714,632",-19.9%,$,"2 ,851,524",1381.6%,$,"3 ,561,047",-80.9%,$,"2 40,353",$,"1 ,256,083"
95955,-100.0%,$,-,6.3%,$,"1 36,347",7.2%,$,"1 28,251",5.5%,$,"1 19,680",$,"1 13,450"
95970,79.4%,$,"1 ,230,045",6.7%,$,"6 85,541",7.0%,$,"6 42,201",1304.4%,$,"5 99,978",$,"4 2,722"
95979,52.0%,$,"1 9,576,544",22.9%,$,"1 2,879,925",229.3%,$,"1 0,482,381",42.7%,$,"3 ,182,824",$,"2 ,230,394"
95987,-29.6%,$,"2 ,166,360",113.2%,$,"3 ,077,777",375.1%,$,"1 ,443,508",4.2%,$,"3 03,855",$,"2 91,524"
94505,322.3%,$,"2 7,489,684",134.8%,$,"6 ,510,250",125.0%,$,"2 ,772,150",4.5%,$,"1 ,232,259",$,"1 ,179,200"
94506,352.1%,$,"1 ,226,146,776",195.8%,$,"2 71,241,018",56.3%,$,"9 1,710,759",1.9%,$,"5 8,679,794",$,"5 7,589,580"
94507,321.9%,$,"9 42,048,747",116.0%,$,"2 23,283,430",66.7%,$,"1 03,349,526",71.3%,$,"6 1,983,966",$,"3 6,187,442"
94509,171.2%,$,"8 6,349,328",133.1%,$,"3 1,834,701",1.0%,$,"1 3,658,621",9.5%,$,"1 3,528,745",$,"1 2,360,414"
94511,29.2%,$,"2 2,843,800",44.7%,$,"1 7,679,843",0.0%,$,"1 2,221,418",0.0%,$,-,$,-
94513,259.4%,$,"9 7,758,039",114.4%,$,"2 7,197,487",83.5%,$,"1 2,684,445",-30.5%,$,"6 ,911,852",$,"9 ,949,214"
94514,297.8%,$,"4 ,693,135",-57.8%,$,"1 ,179,677",9.0%,$,"2 ,795,743",12.2%,$,"2 ,564,611",$,"2 ,286,765"
94517,170.6%,$,"2 29,033,567",80.9%,$,"8 4,644,525",612.0%,$,"4 6,778,832",89.2%,$,"6 ,570,314",$,"3 ,473,576"
94518,141.3%,$,"2 4,269,155",32.9%,$,"1 0,056,215",43.0%,$,"7 ,568,341",6.9%,$,"5 ,292,231",$,"4 ,948,494"
94519,135.0%,$,"9 ,158,002",-17.6%,$,"3 ,896,212",7.7%,$,"4 ,726,979",5.7%,$,"4 ,390,307",$,"4 ,155,108"
94520,678.4%,$,"3 0,839,242",146.7%,$,"3 ,961,752",-61.5%,$,"1 ,605,738",193.8%,$,"4 ,173,192",$,"1 ,420,213"
94521,230.9%,$,"6 2,326,011",241.9%,$,"1 8,836,788",108.6%,$,"5 ,508,677",34.8%,$,"2 ,640,780",$,"1 ,959,650"
94523,529.3%,$,"1 08,338,029",146.5%,$,"1 7,216,075",-2.3%,$,"6 ,985,592",-3.0%,$,"7 ,147,153",$,"7 ,365,927"
94525,200.3%,$,"5 8,587,054",182.8%,$,"1 9,511,327",-25.2%,$,"6 ,898,826",43.3%,$,"9 ,217,356",$,"6 ,430,698"
94526,515.3%,$,"5 72,036,324",82.2%,$,"9 2,962,908",140.9%,$,"5 1,012,686",42.4%,$,"2 1,171,549",$,"1 4,869,864"
94528,336.0%,$,"1 33,313,892",83.3%,$,"3 0,575,169",43.0%,$,"1 6,676,356",51.0%,$,"1 1,660,000",$,"7 ,721,000"
94530,441.6%,$,"3 34,730,647",83.8%,$,"6 1,805,037",27.0%,$,"3 3,620,800",97.9%,$,"2 6,481,499",$,"1 3,379,204"
94531,568.1%,$,"6 9,619,593",159.0%,$,"1 0,420,265",-13.4%,$,"4 ,023,721",3.6%,$,"4 ,644,924",$,"4 ,481,448"
94547,744.1%,$,"5 5,408,024",201.9%,$,"6 ,564,453",110.7%,$,"2 ,174,690",8.3%,$,"1 ,032,366",$,"9 53,327"
94548,1107.7%,$,"7 85,000",0.0%,$,"6 5,000",0.0%,$,-,0.0%,$,-,$,-
