ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
92841,384.9%,$,"4 9,933,375",259.0%,$,"1 0,297,789",-35.1%,$,"2 ,868,784",258.1%,$,"4 ,418,126",$,"1 ,233,627"
92843,298.2%,$,"3 3,005,818",58.2%,$,"8 ,287,727",-2.4%,$,"5 ,238,067",1.7%,$,"5 ,364,793",$,"5 ,275,726"
92844,261.5%,$,"2 2,380,003",422.3%,$,"6 ,191,562",257.4%,$,"1 ,185,378",5.2%,$,"3 31,659",$,"3 15,170"
92845,1347.3%,$,"5 ,644,343",-19.3%,$,"3 90,000",0.0%,$,"4 83,400",0.0%,$,-,$,-
92861,209.9%,$,"2 6,524,137",40.1%,$,"8 ,557,613",130.0%,$,"6 ,107,160",231.3%,$,"2 ,655,579",$,"8 01,525"
92865,173.1%,$,"1 2,445,249",6.5%,$,"4 ,556,925",21.1%,$,"4 ,280,800",26.5%,$,"3 ,535,008",$,"2 ,795,354"
92866,272.5%,$,"1 0,790,416",375.7%,$,"2 ,896,909",-70.3%,$,"6 09,015",6.9%,$,"2 ,051,018",$,"1 ,917,997"
92867,284.9%,$,"1 76,983,565",181.3%,$,"4 5,982,947",57.8%,$,"1 6,344,162",48.2%,$,"1 0,359,263",$,"6 ,991,993"
92868,179.5%,$,"1 4,629,106",25.7%,$,"5 ,233,779",31.2%,$,"4 ,163,696",-41.3%,$,"3 ,174,262",$,"5 ,409,295"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year o,ver Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
92869,198.8%,$,"1 44,846,886",47.9%,$,"4 8,480,768",29.7%,$,"3 2,778,097",50.5%,$,"2 5,275,821",$,"1 6,790,375"
92870,87.4%,$,"4 4,788,464",71.0%,$,"2 3,893,693",84.2%,$,"1 3,973,517",-8.6%,$,"7 ,586,739",$,"8 ,302,331"
92886,273.6%,$,"6 45,546,252",60.2%,$,"1 72,775,065",7.6%,$,"1 07,857,767",93.9%,$,"1 00,230,207",$,"5 1,694,479"
92887,80.4%,$,"7 76,831,060",39.7%,$,"4 30,580,692",14.0%,$,"3 08,187,640",124.5%,$,"2 70,416,869",$,"1 20,440,490"
95602,27.5%,$,"2 ,792,646,339",33.8%,$,"2 ,190,718,766",17.5%,$,"1 ,637,784,872",31.7%,$,"1 ,394,248,556",$,"1 ,058,411,786"
95603,96.0%,$,"1 ,622,698,920",33.6%,$,"8 27,927,171",10.8%,$,"6 19,844,326",70.9%,$,"5 59,512,799",$,"3 27,411,191"
95631,8.6%,$,"1 ,422,913,936",9.5%,$,"1 ,310,415,978",13.1%,$,"1 ,196,256,216",45.5%,$,"1 ,058,110,361",$,"7 27,139,325"
95648,85.8%,$,"1 77,313,548",110.3%,$,"9 5,412,900",10.1%,$,"4 5,373,284",95.7%,$,"4 1,202,961",$,"2 1,051,354"
95650,84.6%,$,"6 76,555,715",79.4%,$,"3 66,534,855",39.7%,$,"2 04,317,584",77.4%,$,"1 46,274,361",$,"8 2,452,879"
95658,112.5%,$,"4 91,302,363",71.4%,$,"2 31,176,912",29.9%,$,"1 34,843,452",43.0%,$,"1 03,784,185",$,"7 2,581,455"
95661,152.0%,$,"9 ,124,985",203.0%,$,"3 ,621,693",10.8%,$,"1 ,195,453",0.0%,$,"1 ,079,000",$,-
95663,169.4%,$,"1 10,195,275",151.2%,$,"4 0,900,659",-11.9%,$,"1 6,280,800",142.1%,$,"1 8,480,825",$,"7 ,633,634"
95677,231.5%,$,"5 0,027,871",113.7%,$,"1 5,092,911",456.6%,$,"7 ,062,373",76.1%,$,"1 ,268,779",$,"7 20,334"
95678,391.1%,$,"8 ,270,474",150.6%,$,"1 ,683,973",-23.4%,$,"6 71,985",366.6%,$,"8 77,150",$,"1 88,000"
95681,448.5%,$,"9 ,605,228",12.5%,$,"1 ,751,149",108.7%,$,"1 ,555,950",0.0%,$,"7 45,450",$,-
95701,20.6%,$,"2 14,722,621",14.0%,$,"1 78,012,184",15.9%,$,"1 56,204,161",19.0%,$,"1 34,780,976",$,"1 13,270,389"
95703,16.7%,$,"2 83,254,281",22.2%,$,"2 42,731,586",10.9%,$,"1 98,705,252",67.3%,$,"1 79,254,189",$,"1 07,121,018"
95713,26.5%,$,"1 ,503,551,633",10.5%,$,"1 ,188,967,481",9.7%,$,"1 ,075,902,824",60.9%,$,"9 81,097,730",$,"6 09,647,170"
95714,23.8%,$,"8 5,840,444",13.9%,$,"6 9,313,298",16.9%,$,"6 0,852,252",21.1%,$,"5 2,038,946",$,"4 2,957,495"
95715,0.5%,$,"4 8,736,342",18.7%,$,"4 8,504,905",7.3%,$,"4 0,848,207",65.6%,$,"3 8,071,475",$,"2 2,987,975"
95717,27.9%,$,"4 1,777,617",6.2%,$,"3 2,653,961",15.5%,$,"3 0,761,293",38.4%,$,"2 6,626,667",$,"1 9,243,752"
95722,18.0%,$,"1 ,487,306,341",30.3%,$,"1 ,260,414,818",18.3%,$,"9 67,499,326",62.2%,$,"8 17,821,064",$,"5 04,109,513"
95724,87.9%,$,"7 1,755,133",-2.1%,$,"3 8,180,342",58.9%,$,"3 8,990,826",111.1%,$,"2 4,543,464",$,"1 1,629,028"
95736,0.0%,$,"1 5,032,128",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95746,117.8%,$,"8 78,084,240",89.5%,$,"4 03,121,382",75.2%,$,"2 12,690,900",78.8%,$,"1 21,424,945",$,"6 7,905,649"
95747,167.2%,$,"3 2,968,409",305.6%,$,"1 2,338,992",-12.4%,$,"3 ,042,274",1295.9%,$,"3 ,472,034",$,"2 48,723"
95765,528.1%,$,"1 7,153,020",244.7%,$,"2 ,730,808",6.8%,$,"7 92,178",0.0%,$,"7 41,450",$,-
96140,28.6%,$,"8 96,411,659",50.4%,$,"6 96,875,536",76.4%,$,"4 63,324,397",134.4%,$,"2 62,613,761",$,"1 12,024,501"
96141,71.3%,$,"7 77,372,607",83.6%,$,"4 53,856,707",44.9%,$,"2 47,164,429",85.4%,$,"1 70,585,624",$,"9 2,025,561"
96143,26.7%,$,"6 09,339,801",24.7%,$,"4 80,986,047",44.0%,$,"3 85,754,654",73.3%,$,"2 67,951,072",$,"1 54,629,648"
96145,38.7%,$,"1 ,881,322,975",24.3%,$,"1 ,356,405,979",24.7%,$,"1 ,091,059,198",95.2%,$,"8 74,810,309",$,"4 48,051,627"
96146,32.1%,$,"1 ,388,753,745",24.8%,$,"1 ,050,933,063",21.3%,$,"8 41,917,656",89.3%,$,"6 93,874,350",$,"3 66,504,653"
96148,30.4%,$,"5 55,417,335",58.8%,$,"4 25,859,202",54.5%,$,"2 68,180,029",108.6%,$,"1 73,566,935",$,"8 3,194,850"
95915,91.3%,$,"7 87,321",-50.2%,$,"4 11,521",310.0%,$,"8 25,750",0.0%,$,"2 01,400",$,-
95923,12.9%,$,"4 8,360,171",54.9%,$,"4 2,845,467",3.6%,$,"2 7,666,036",46.2%,$,"2 6,709,050",$,"1 8,271,316"
95934,-2.6%,$,"6 ,622,698",120.3%,$,"6 ,796,076",-30.5%,$,"3 ,085,390",22.9%,$,"4 ,440,058",$,"3 ,611,589"
95947,54.3%,$,"6 7,101,208",35.9%,$,"4 3,490,677",5.6%,$,"3 2,002,915",37.5%,$,"3 0,302,655",$,"2 2,030,967"
95956,23.9%,$,"4 9,143,944",36.9%,$,"3 9,661,028",31.5%,$,"2 8,976,368",42.2%,$,"2 2,040,353",$,"1 5,496,233"
95971,39.1%,$,"3 73,736,341",83.9%,$,"2 68,657,832",26.1%,$,"1 46,115,800",58.9%,$,"1 15,876,939",$,"7 2,921,260"
95983,20.5%,$,"3 2,953,457",37.8%,$,"2 7,344,487",23.1%,$,"1 9,839,446",27.5%,$,"1 6,117,022",$,"1 2,641,990"
95984,-8.7%,$,"1 1,478,739",12.5%,$,"1 2,574,434",22.7%,$,"1 1,178,550",26.8%,$,"9 ,113,078",$,"7 ,188,692"
96020,29.4%,$,"3 29,430,945",66.3%,$,"2 54,522,891",9.5%,$,"1 53,074,972",56.0%,$,"1 39,836,599",$,"8 9,653,513"
96063,41.8%,$,"4 0,682,985",20.8%,$,"2 8,686,924",34.8%,$,"2 3,745,991",116.2%,$,"1 7,610,966",$,"8 ,145,781"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
96103,28.1%,$,"4 23,565,099",45.5%,$,"3 30,579,622",26.0%,$,"2 27,200,272",36.4%,$,"1 80,344,779",$,"1 32,186,084"
96105,52.6%,$,"3 0,518,864",32.2%,$,"2 0,004,530",28.4%,$,"1 5,129,594",28.0%,$,"1 1,786,942",$,"9 ,211,745"
96106,11.2%,$,"1 33,514,078",38.6%,$,"1 20,104,673",50.3%,$,"8 6,675,934",27.6%,$,"5 7,684,710",$,"4 5,221,150"
96122,36.0%,$,"4 35,996,018",58.4%,$,"3 20,523,034",23.8%,$,"2 02,358,370",39.0%,$,"1 63,514,455",$,"1 17,598,880"
96129,41.3%,$,"1 4,448,486",156.8%,$,"1 0,228,335",18.9%,$,"3 ,983,572",62.2%,$,"3 ,351,755",$,"2 ,066,315"
96137,19.0%,$,"8 76,005,888",48.4%,$,"7 35,873,938",22.0%,$,"4 95,872,879",44.4%,$,"4 06,336,480",$,"2 81,382,730"
91752,172.9%,$,"1 61,598,397",61.5%,$,"5 9,204,892",12.9%,$,"3 6,665,747",17.4%,$,"3 2,463,277",$,"2 7,662,923"
92201,237.6%,$,"4 8,297,211",41.7%,$,"1 4,307,975",-6.5%,$,"1 0,097,617",17.9%,$,"1 0,803,338",$,"9 ,166,252"
92203,289.7%,$,"3 3,811,277",18.8%,$,"8 ,676,906",52.3%,$,"7 ,302,255",-8.7%,$,"4 ,794,444",$,"5 ,253,413"
92210,327.2%,$,"5 1,605,899",127.6%,$,"1 2,079,064",103.7%,$,"5 ,307,066",-40.2%,$,"2 ,605,380",$,"4 ,354,072"
92211,1013.0%,$,"3 0,494,474",75.7%,$,"2 ,739,879",20.5%,$,"1 ,559,740",-2.1%,$,"1 ,294,450",$,"1 ,322,691"
92220,109.4%,$,"4 99,357,426",61.3%,$,"2 38,516,002",80.5%,$,"1 47,899,409",17.0%,$,"8 1,932,766",$,"7 0,034,652"
92223,117.2%,$,"1 ,068,017,406",64.6%,$,"4 91,802,109",54.1%,$,"2 98,717,391",49.9%,$,"1 93,865,202",$,"1 29,337,034"
92225,179.0%,$,"3 5,071,773",121.8%,$,"1 2,570,889",25.7%,$,"5 ,667,102",22.7%,$,"4 ,507,343",$,"3 ,672,376"
92230,89.1%,$,"3 6,995,283",56.8%,$,"1 9,563,601",226.1%,$,"1 2,474,242",37.7%,$,"3 ,825,230",$,"2 ,777,034"
92234,393.6%,$,"8 3,745,803",84.4%,$,"1 6,965,317",-1.4%,$,"9 ,201,577",-16.5%,$,"9 ,328,614",$,"1 1,177,790"
92236,294.9%,$,"2 4,506,701",-4.3%,$,"6 ,206,396",-5.6%,$,"6 ,486,747",-1.8%,$,"6 ,874,983",$,"7 ,004,459"
92239,349.5%,$,"1 ,895,158",0.0%,$,"4 21,600",0.0%,$,-,0.0%,$,-,$,-
92240,256.8%,$,"1 05,594,609",63.1%,$,"2 9,590,917",18.7%,$,"1 8,142,393",13.9%,$,"1 5,286,351",$,"1 3,421,867"
92241,212.6%,$,"5 2,153,912",92.6%,$,"1 6,684,024",45.3%,$,"8 ,660,516",12.1%,$,"5 ,961,681",$,"5 ,317,220"
92253,270.8%,$,"8 9,431,764",71.1%,$,"2 4,116,197",54.6%,$,"1 4,095,257",-4.4%,$,"9 ,116,657",$,"9 ,536,198"
92254,103.3%,$,"6 ,237,007",58.8%,$,"3 ,067,264",68.8%,$,"1 ,931,198",0.7%,$,"1 ,144,355",$,"1 ,136,560"
92258,558.3%,$,"3 ,796,489",6.7%,$,"5 76,739",5.6%,$,"5 40,617",5.1%,$,"5 12,075",$,"4 87,183"
92260,352.5%,$,"8 4,160,372",34.4%,$,"1 8,598,966",111.9%,$,"1 3,840,389",31.8%,$,"6 ,532,173",$,"4 ,954,314"
92262,188.1%,$,"1 09,786,786",116.6%,$,"3 8,109,324",92.8%,$,"1 7,592,540",21.5%,$,"9 ,125,500",$,"7 ,510,343"
92264,305.2%,$,"1 46,633,617",85.9%,$,"3 6,191,370",106.4%,$,"1 9,464,244",1.4%,$,"9 ,428,094",$,"9 ,295,046"
92270,260.3%,$,"1 21,560,295",93.6%,$,"3 3,736,621",35.4%,$,"1 7,423,753",19.6%,$,"1 2,865,949",$,"1 0,756,225"
92274,157.3%,$,"3 6,362,943",73.6%,$,"1 4,132,349",15.5%,$,"8 ,142,343",83.1%,$,"7 ,050,381",$,"3 ,850,678"
92276,222.0%,$,"2 3,471,432",134.5%,$,"7 ,289,404",-10.9%,$,"3 ,108,221",39.9%,$,"3 ,487,679",$,"2 ,493,435"
92282,45.8%,$,"3 7,559,856",28.5%,$,"2 5,768,238",48.2%,$,"2 0,051,200",38.1%,$,"1 3,532,324",$,"9 ,796,466"
92320,84.9%,$,"4 03,482,721",104.6%,$,"2 18,271,810",64.4%,$,"1 06,666,627",53.5%,$,"6 4,891,968",$,"4 2,266,402"
92501,142.6%,$,"8 9,678,697",92.8%,$,"3 6,961,263",23.8%,$,"1 9,170,964",36.6%,$,"1 5,486,641",$,"1 1,335,285"
92503,211.7%,$,"8 36,363,998",85.0%,$,"2 68,361,924",30.1%,$,"1 45,029,952",63.6%,$,"1 11,474,280",$,"6 8,142,097"
92504,205.9%,$,"3 00,734,424",80.7%,$,"9 8,324,131",43.7%,$,"5 4,398,791",34.4%,$,"3 7,862,506",$,"2 8,161,674"
92505,215.9%,$,"1 73,669,174",123.7%,$,"5 4,973,390",6.1%,$,"2 4,578,783",17.5%,$,"2 3,158,668",$,"1 9,701,798"
92506,318.8%,$,"4 86,545,008",119.3%,$,"1 16,171,458",52.8%,$,"5 2,964,488",40.4%,$,"3 4,652,626",$,"2 4,677,092"
92507,172.7%,$,"3 57,716,665",129.6%,$,"1 31,163,293",42.9%,$,"5 7,136,340",43.1%,$,"3 9,992,997",$,"2 7,941,224"
92508,385.8%,$,"2 26,212,535",180.0%,$,"4 6,564,816",50.6%,$,"1 6,630,788",-12.3%,$,"1 1,041,395",$,"1 2,596,583"
92509,135.1%,$,"3 88,695,616",37.6%,$,"1 65,304,271",39.1%,$,"1 20,117,905",20.8%,$,"8 6,360,231",$,"7 1,484,583"
92518,532.2%,$,"3 ,911,960",0.0%,$,"6 18,750",-100.0%,$,-,0.0%,$,"3 ,016,200",$,-
92530,102.3%,$,"1 ,240,394,157",71.5%,$,"6 13,266,351",43.6%,$,"3 57,621,602",49.7%,$,"2 48,994,461",$,"1 66,280,921"
92532,149.4%,$,"7 74,488,115",71.1%,$,"3 10,499,818",32.4%,$,"1 81,454,461",121.3%,$,"1 37,059,434",$,"6 1,925,307"
92536,48.5%,$,"2 75,428,356",27.2%,$,"1 85,511,328",54.5%,$,"1 45,827,750",68.2%,$,"9 4,381,178",$,"5 6,113,248"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
92539,40.7%,$,"2 81,833,762",27.2%,$,"2 00,296,602",50.9%,$,"1 57,407,389",56.2%,$,"1 04,286,536",$,"6 6,757,901"
92543,224.3%,$,"2 03,137,998",61.7%,$,"6 2,629,979",29.4%,$,"3 8,735,574",15.3%,$,"2 9,923,288",$,"2 5,953,522"
92544,90.7%,$,"7 97,011,850",46.4%,$,"4 17,838,900",34.0%,$,"2 85,464,249",41.5%,$,"2 12,997,968",$,"1 50,569,789"
92545,196.9%,$,"3 76,600,734",65.4%,$,"1 26,861,607",24.7%,$,"7 6,696,625",82.6%,$,"6 1,495,606",$,"3 3,682,747"
92548,139.4%,$,"1 53,153,995",48.4%,$,"6 3,985,673",38.4%,$,"4 3,125,854",96.1%,$,"3 1,160,036",$,"1 5,886,175"
92549,11.1%,$,"1 ,907,346,296",16.9%,$,"1 ,716,710,214",38.5%,$,"1 ,468,735,368",28.7%,$,"1 ,060,622,067",$,"8 24,159,780"
92551,301.0%,$,"1 65,719,221",60.3%,$,"4 1,321,669",1.9%,$,"2 5,783,272",1.6%,$,"2 5,311,200",$,"2 4,917,322"
92553,249.7%,$,"2 61,344,986",30.5%,$,"7 4,732,606",28.6%,$,"5 7,285,924",15.9%,$,"4 4,550,156",$,"3 8,451,451"
92555,262.4%,$,"6 86,081,217",125.0%,$,"1 89,320,930",36.7%,$,"8 4,142,503",28.7%,$,"6 1,560,699",$,"4 7,825,950"
92557,167.1%,$,"5 75,791,335",97.5%,$,"2 15,553,102",44.0%,$,"1 09,167,111",44.2%,$,"7 5,790,337",$,"5 2,571,951"
92561,48.3%,$,"3 87,229,144",35.4%,$,"2 61,115,501",51.7%,$,"1 92,901,152",46.7%,$,"1 27,152,367",$,"8 6,661,379"
92562,60.5%,$,"2 ,503,034,190",48.9%,$,"1 ,559,088,627",57.0%,$,"1 ,047,010,595",66.0%,$,"6 66,822,304",$,"4 01,808,929"
92563,259.3%,$,"6 03,029,153",102.9%,$,"1 67,851,046",25.0%,$,"8 2,735,456",80.2%,$,"6 6,194,962",$,"3 6,729,131"
92567,102.9%,$,"1 82,129,595",64.8%,$,"8 9,762,877",44.5%,$,"5 4,481,884",101.3%,$,"3 7,701,279",$,"1 8,724,321"
92570,95.2%,$,"1 ,188,639,416",62.0%,$,"6 08,983,599",60.6%,$,"3 75,937,477",58.9%,$,"2 34,130,719",$,"1 47,368,301"
92571,171.5%,$,"2 87,746,696",49.5%,$,"1 05,964,552",13.8%,$,"7 0,877,481",15.8%,$,"6 2,273,406",$,"5 3,769,763"
92582,186.7%,$,"1 79,320,322",45.3%,$,"6 2,541,314",107.9%,$,"4 3,047,327",39.2%,$,"2 0,705,758",$,"1 4,874,973"
92583,214.2%,$,"1 96,572,705",80.3%,$,"6 2,568,691",31.2%,$,"3 4,700,746",37.6%,$,"2 6,441,891",$,"1 9,221,650"
92584,210.6%,$,"4 79,152,344",74.5%,$,"1 54,275,136",64.8%,$,"8 8,431,184",100.2%,$,"5 3,660,776",$,"2 6,798,633"
92585,298.4%,$,"1 93,746,166",80.3%,$,"4 8,634,831",39.8%,$,"2 6,981,757",89.0%,$,"1 9,297,056",$,"1 0,207,557"
92586,608.9%,$,"1 39,236,302",98.2%,$,"1 9,641,914",83.1%,$,"9 ,907,787",4.1%,$,"5 ,409,709",$,"5 ,195,775"
92587,269.7%,$,"4 87,263,174",157.0%,$,"1 31,791,637",18.3%,$,"5 1,282,785",66.7%,$,"4 3,363,591",$,"2 6,012,976"
92590,30.4%,$,"7 55,322,770",46.3%,$,"5 79,094,502",90.7%,$,"3 95,921,421",59.1%,$,"2 07,611,055",$,"1 30,484,927"
92591,175.0%,$,"1 71,211,095",16.0%,$,"6 2,258,365",138.6%,$,"5 3,657,902",142.4%,$,"2 2,489,130",$,"9 ,275,861"
92592,95.5%,$,"1 ,546,521,817",43.2%,$,"7 91,227,298",109.3%,$,"5 52,575,005",107.6%,$,"2 64,009,015",$,"1 27,196,046"
92595,120.2%,$,"8 59,026,012",143.9%,$,"3 90,105,872",27.7%,$,"1 59,971,937",76.9%,$,"1 25,287,149",$,"7 0,818,152"
92596,276.8%,$,"3 01,902,093",95.2%,$,"8 0,121,547",67.6%,$,"4 1,049,978",67.3%,$,"2 4,494,001",$,"1 4,643,068"
92860,288.2%,$,"1 98,646,599",135.6%,$,"5 1,171,071",12.8%,$,"2 1,716,973",-21.5%,$,"1 9,247,541",$,"2 4,513,776"
92879,192.3%,$,"1 84,673,190",57.2%,$,"6 3,186,042",28.5%,$,"4 0,205,949",12.1%,$,"3 1,290,848",$,"2 7,908,615"
92880,278.0%,$,"4 81,728,748",99.0%,$,"1 27,451,087",18.3%,$,"6 4,036,527",24.4%,$,"5 4,146,960",$,"4 3,510,439"
92881,204.6%,$,"4 87,432,772",116.4%,$,"1 60,011,880",18.1%,$,"7 3,956,248",91.9%,$,"6 2,624,443",$,"3 2,634,821"
92882,119.7%,$,"1 ,284,141,034",98.2%,$,"5 84,406,226",46.9%,$,"2 94,892,980",51.5%,$,"2 00,802,602",$,"1 32,579,567"
92883,151.4%,$,"1 ,483,556,664",147.6%,$,"5 90,096,628",65.6%,$,"2 38,299,510",133.2%,$,"1 43,891,141",$,"6 1,707,708"
95608,710.0%,$,"3 9,967,568",-20.3%,$,"4 ,934,514",77.2%,$,"6 ,189,622",-24.5%,$,"3 ,493,646",$,"4 ,627,492"
95610,147.7%,$,"9 ,588,437",93.7%,$,"3 ,871,542",-24.4%,$,"1 ,999,011",81.4%,$,"2 ,642,920",$,"1 ,456,764"
95615,0.0%,$,-,0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95621,62.5%,$,"6 ,474,149",54.1%,$,"3 ,984,931",224.5%,$,"2 ,586,174",5.8%,$,"7 97,031",$,"7 53,209"
95624,277.7%,$,"2 8,119,572",434.6%,$,"7 ,445,295",10.2%,$,"1 ,392,583",-8.1%,$,"1 ,263,497",$,"1 ,374,941"
95626,61.2%,$,"7 ,088,340",507.0%,$,"4 ,396,290",654.4%,$,"7 24,250",-77.0%,$,"9 6,000",$,"4 18,000"
95628,164.6%,$,"2 7,034,056",335.4%,$,"1 0,215,105",-51.5%,$,"2 ,346,385",937.3%,$,"4 ,833,650",$,"4 65,972"
95630,472.5%,$,"1 38,443,052",335.7%,$,"2 4,180,618",-45.6%,$,"5 ,550,121",207.8%,$,"1 0,211,270",$,"3 ,317,001"
95632,66.0%,$,"1 3,400,545",76.3%,$,"8 ,074,194",445.9%,$,"4 ,580,457",412.8%,$,"8 39,117",$,"1 63,650"
95638,24.2%,$,"1 2,340,138",367.0%,$,"9 ,931,887",42.8%,$,"2 ,126,827",162.9%,$,"1 ,488,909",$,"5 66,265"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year o,ver Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
95641,15.3%,$,"2 ,966,472",99.3%,$,"2 ,571,931",-47.1%,$,"1 ,290,164",67.5%,$,"2 ,436,919",$,"1 ,454,758"
95655,0.0%,$,"2 ,871,400",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95660,39.3%,$,"6 ,726,924",107.0%,$,"4 ,829,941",-39.7%,$,"2 ,332,824",59.7%,$,"3 ,868,384",$,"2 ,422,463"
95662,180.5%,$,"1 6,258,918",491.7%,$,"5 ,796,658",0.0%,$,"9 79,640",-100.0%,$,-,$,"2 80,000"
95670,118.1%,$,"2 3,191,970",777.2%,$,"1 0,634,350",-39.6%,$,"1 ,212,312",1059.9%,$,"2 ,006,650",$,"1 73,000"
95673,227.1%,$,"1 7,963,639",27.3%,$,"5 ,491,715",10.8%,$,"4 ,313,866",15.8%,$,"3 ,891,871",$,"3 ,360,979"
95683,67.4%,$,"3 4,078,927",157.7%,$,"2 0,360,807",85.6%,$,"7 ,901,465",74.9%,$,"4 ,258,020",$,"2 ,434,411"
95690,102.5%,$,"3 ,756,660",73.5%,$,"1 ,854,940",40.1%,$,"1 ,069,407",52.5%,$,"7 63,400",$,"5 00,441"
95693,465.1%,$,"2 6,451,683",51.8%,$,"4 ,680,891",11.6%,$,"3 ,084,378",64.3%,$,"2 ,763,931",$,"1 ,682,169"
95742,207.3%,$,"1 5,957,743",0.0%,$,"5 ,192,800",0.0%,$,-,-100.0%,$,-,$,"9 13,410"
95757,1050.1%,$,"1 1,792,079",-38.7%,$,"1 ,025,272",6.8%,$,"1 ,671,373",61.3%,$,"1 ,565,569",$,"9 70,702"
95758,663.3%,$,"1 9,097,907",456.6%,$,"2 ,502,078",6.6%,$,"4 49,547",-42.0%,$,"4 21,783",$,"7 27,065"
95811,122.4%,$,"1 8,992,809",67.3%,$,"8 ,538,305",50.4%,$,"5 ,103,615",8.4%,$,"3 ,392,367",$,"3 ,129,718"
95814,828.7%,$,"1 9,316,982",108.8%,$,"2 ,080,057",-18.6%,$,"9 96,294",-3.5%,$,"1 ,224,416",$,"1 ,268,493"
95815,32.7%,$,"2 2,904,548",41.8%,$,"1 7,259,871",-20.0%,$,"1 2,171,122",-19.5%,$,"1 5,212,974",$,"1 8,892,924"
95816,219.4%,$,"5 1,677,122",151.4%,$,"1 6,177,768",34.2%,$,"6 ,435,852",-5.8%,$,"4 ,795,561",$,"5 ,089,175"
95817,33.9%,$,"8 ,316,935",-17.5%,$,"6 ,209,316",10.0%,$,"7 ,523,109",5.5%,$,"6 ,838,825",$,"6 ,481,716"
95818,101.0%,$,"3 2,175,535",38.5%,$,"1 6,009,258",44.7%,$,"1 1,555,980",37.8%,$,"7 ,985,428",$,"5 ,794,383"
95819,349.2%,$,"1 2,764,168",7.3%,$,"2 ,841,749",-29.3%,$,"2 ,649,488",295.5%,$,"3 ,748,638",$,"9 47,786"
95820,103.4%,$,"2 0,521,213",-3.1%,$,"1 0,091,270",46.2%,$,"1 0,411,277",-35.3%,$,"7 ,123,648",$,"1 1,007,866"
95821,30.6%,$,"1 3,456,804",68.1%,$,"1 0,301,331",43.3%,$,"6 ,129,697",14.3%,$,"4 ,276,251",$,"3 ,741,129"
95822,117.6%,$,"2 3,004,858",37.2%,$,"1 0,573,082",24.9%,$,"7 ,707,417",-19.3%,$,"6 ,170,785",$,"7 ,644,554"
95823,232.3%,$,"2 4,492,231",-7.8%,$,"7 ,369,727",53.2%,$,"7 ,995,065",41.6%,$,"5 ,219,529",$,"3 ,685,291"
95824,600.0%,$,"1 8,011,442",-29.2%,$,"2 ,573,055",17.5%,$,"3 ,632,756",-5.8%,$,"3 ,092,539",$,"3 ,283,985"
95825,959.7%,$,"5 ,807,164",5.9%,$,"5 48,005",-47.2%,$,"5 17,300",33.4%,$,"9 80,007",$,"7 34,450"
95826,81.8%,$,"5 ,695,174",192.9%,$,"3 ,133,411",-44.7%,$,"1 ,069,734",-43.2%,$,"1 ,936,151",$,"3 ,409,902"
