ZIP,exposure_Sep24,exposure_Sep23,exposure_Sep22,exposure_Sep21,exposure_Sep20,policies_Sep24,policies_Sep23,policies_Sep22,policies_Sep21,policies_Sep20
92317,119027068,95651542,79742570,60403004,46826580,136,129,125,117,100
92318,1744800,0,0,308750,0,4,0,0,1,0
92320,403482721,218271810,106666627,64891968,42266402,573,342,177,94,61
92321,176498504,165362050,139402913,129117334,89377036,260,261,233,230,160
92322,275915003,273378148,250500334,222799587,156392548,467,491,481,459,357
92324,521012434,259895164,161725039,123924684,87569300,670,371,285,263,228
92325,2436847187,2285261906,2044598819,1715518203,1304274224,4044,4115,3978,3650,3035
92327,1329553,949400,0,0,195480,3,2,0,0,1
92332,2400000,0,0,0,0,0,0,0,0,0
92333,418047201,368647442,307349787,225523450,184317773,635,598,551,475,422
92335,234645546,128986432,95437313,90512449,88249181,421,291,257,273,284
92336,496064969,162432744,103334309,91766360,80146944,534,209,156,166,163
92337,203679742,87710738,52094114,48953821,40891374,264,134,97,103,97
92338,406000,0,0,0,0,1,0,0,0,0
92339,261819067,227113496,198293991,159909565,128541194,445,424,398,343,297
92341,340920302,300539416,257586861,204404049,163136897,649,622,569,500,433
92342,31206484,8908597,5836372,5105882,3880119,44,18,13,14,13
92344,609506902,365352495,242364623,158304316,89131654,727,470,358,268,183
92345,435818561,148828840,91737672,71304533,58581669,686,277,196,185,173
92346,558814490,230367981,131458656,85677887,66237383,630,254,156,131,117
92347,4634823,1684771,942925,417683,395289,13,5,3,2,2
92352,6310833083,5819105250,5151007010,4063631851,2920489122,6293,6304,5999,5284,4227
92354,212019940,57342503,26747785,23998795,18261479,222,65,39,36,29
92356,49131323,25886382,20528056,15941341,10803873,109,63,56,48,37
92358,120073153,105320684,81164432,71209397,59761172,213,204,180,175,164
92359,197322646,109194026,72622726,43752777,27862608,317,192,133,90,69
92363,17930544,9580360,2753517,2562371,2078025,44,19,10,12,11
92364,1199169,1890621,1128137,685746,655216,1,2,2,1,1
92365,16684914,9618498,6855429,4599758,4161980,35,18,17,14,15
92368,6374786,1641788,1043411,1261367,439057,13,4,3,4,2
92371,517782090,271801975,145183475,92514357,58396848,892,560,342,261,201
92372,239089410,129426265,75693423,37156978,22069987,398,249,156,87,61
92373,1048314062,649256601,426945399,280991823,198230412,776,495,347,251,194
92374,250074085,95330098,63432410,35423234,25483393,233,92,66,57,54
92376,210333073,114654247,91646269,79749408,78655110,354,244,221,221,239
92377,115431328,40465231,22577915,20536892,16851346,147,61,42,43,42
92378,108641395,91290473,75799017,57947975,42387880,180,171,151,139,117
92382,1602242125,1428566268,1214754492,952688050,794610572,2560,2482,2309,1997,1804
92385,119672033,93903451,83339397,67826011,46948164,117,105,98,87,66
92386,765154724,619570862,533090606,397171602,322070887,1756,1585,1480,1214,1070
92389,422750,0,0,0,0,1,0,0,0,0
92391,607903571,523813931,460835803,389771807,283967282,932,881,830,778,615
92392,312867548,85134307,42922115,38986992,33160397,441,158,104,112,104
